symbol,artifact_root,selected_artifact_prefix,model_path_exists,vecnormalize_path_exists,features_path_exists,probability_config_path_exists,model_info_path_exists,selected_window,final_portfolio,buy_hold,ppo_minus_buy_hold,ppo_vs_buy_hold_pct,sharpe,drawdown_if_available,source_repo_or_artifact_source,notes
AAPL,models/alpaca_ppo_models_master,ppo_AAPL_window10,True,True,True,True,True,1080-1800,100191.52,86788.15,13403.37,15.443779,2.698,0.06,local deployment artifact inventory,artifact_set_complete=true
AAPL,models/alpaca_ppo_models_master,ppo_AAPL_window11,True,True,False,False,False,,,,,,,,local deployment artifact inventory,missing=features|probability_config|model_info
AAPL,models/alpaca_ppo_models_master,ppo_AAPL_window12,True,True,False,False,False,,,,,,,,local deployment artifact inventory,missing=features|probability_config|model_info
AAPL,models/alpaca_ppo_models_master,ppo_AAPL_window13,True,True,False,False,False,,,,,,,,local deployment artifact inventory,missing=features|probability_config|model_info
AAPL,models/alpaca_ppo_models_master,ppo_AAPL_window14,True,True,False,False,False,,,,,,,,local deployment artifact inventory,missing=features|probability_config|model_info
AAPL,models/alpaca_ppo_models_master,ppo_AAPL_window15,True,True,False,False,False,,,,,,,,local deployment artifact inventory,missing=features|probability_config|model_info
AAPL,models/alpaca_ppo_models_master,ppo_AAPL_window16,True,True,False,False,False,,,,,,,,local deployment artifact inventory,missing=features|probability_config|model_info
AAPL,models/alpaca_ppo_models_master,ppo_AAPL_window17,True,True,False,False,False,,,,,,,,local deployment artifact inventory,missing=features|probability_config|model_info
AAPL,models/alpaca_ppo_models_master,ppo_AAPL_window18,True,True,False,False,False,,,,,,,,local deployment artifact inventory,missing=features|probability_config|model_info
AAPL,models/alpaca_ppo_models_master,ppo_AAPL_window19,True,True,True,True,True,2160-2880,100229.12,105948.15,-5719.03,-5.397952,2.404,0.09,local deployment artifact inventory,artifact_set_complete=true
AAPL,models/alpaca_ppo_models_master,ppo_AAPL_window1,True,True,False,False,False,,,,,,,,local deployment artifact inventory,missing=features|probability_config|model_info
AAPL,models/alpaca_ppo_models_master,ppo_AAPL_window20,True,True,False,False,False,,,,,,,,local deployment artifact inventory,missing=features|probability_config|model_info
AAPL,models/alpaca_ppo_models_master,ppo_AAPL_window2,True,True,False,False,False,,,,,,,,local deployment artifact inventory,missing=features|probability_config|model_info
AAPL,models/alpaca_ppo_models_master,ppo_AAPL_window3,True,True,False,False,False,,,,,,,,local deployment artifact inventory,missing=features|probability_config|model_info
AAPL,models/alpaca_ppo_models_master,ppo_AAPL_window4,True,True,False,False,False,,,,,,,,local deployment artifact inventory,missing=features|probability_config|model_info
AAPL,models/alpaca_ppo_models_master,ppo_AAPL_window5,True,True,False,False,False,,,,,,,,local deployment artifact inventory,missing=features|probability_config|model_info
AAPL,models/alpaca_ppo_models_master,ppo_AAPL_window6,True,True,False,False,False,,,,,,,,local deployment artifact inventory,missing=features|probability_config|model_info
AAPL,models/alpaca_ppo_models_master,ppo_AAPL_window7,True,True,True,True,True,720-1440,100094.77,108421.35,-8326.58,-7.679834,4.766,0.01,local deployment artifact inventory,artifact_set_complete=true
AAPL,models/alpaca_ppo_models_master,ppo_AAPL_window8,True,True,False,False,False,,,,,,,,local deployment artifact inventory,missing=features|probability_config|model_info
AAPL,models/alpaca_ppo_models_master,ppo_AAPL_window9,True,True,False,False,False,,,,,,,,local deployment artifact inventory,missing=features|probability_config|model_info
AMD,models/alpaca_ppo_models_master,ppo_AMD_window10,True,True,True,True,True,1080-1800,100127.61,92767.31,7360.3,7.934153,2.248,0.05,local deployment artifact inventory,artifact_set_complete=true
AMD,models/alpaca_ppo_models_master,ppo_AMD_window11,True,True,False,False,False,,,,,,,,local deployment artifact inventory,missing=features|probability_config|model_info
AMD,models/alpaca_ppo_models_master,ppo_AMD_window12,True,True,False,False,False,,,,,,,,local deployment artifact inventory,missing=features|probability_config|model_info
AMD,models/alpaca_ppo_models_master,ppo_AMD_window13,True,True,False,False,False,,,,,,,,local deployment artifact inventory,missing=features|probability_config|model_info
AMD,models/alpaca_ppo_models_master,ppo_AMD_window14,True,True,True,True,True,1560-2280,100532.24,115139.65,-14607.41,-12.68669,2.246,0.25,local deployment artifact inventory,artifact_set_complete=true
AMD,models/alpaca_ppo_models_master,ppo_AMD_window15,True,True,False,False,False,,,,,,,,local deployment artifact inventory,missing=features|probability_config|model_info
AMD,models/alpaca_ppo_models_master,ppo_AMD_window16,True,True,False,False,False,,,,,,,,local deployment artifact inventory,missing=features|probability_config|model_info
AMD,models/alpaca_ppo_models_master,ppo_AMD_window17,True,True,False,False,False,,,,,,,,local deployment artifact inventory,missing=features|probability_config|model_info
AMD,models/alpaca_ppo_models_master,ppo_AMD_window18,True,True,True,True,True,2040-2760,100166.64,118846.56,-18679.92,-15.717678,1.79,0.09,local deployment artifact inventory,artifact_set_complete=true
AMD,models/alpaca_ppo_models_master,ppo_AMD_window19,True,True,False,False,False,,,,,,,,local deployment artifact inventory,missing=features|probability_config|model_info
AMD,models/alpaca_ppo_models_master,ppo_AMD_window1,True,True,False,False,False,,,,,,,,local deployment artifact inventory,missing=features|probability_config|model_info
AMD,models/alpaca_ppo_models_master,ppo_AMD_window20,True,True,False,False,False,,,,,,,,local deployment artifact inventory,missing=features|probability_config|model_info
AMD,models/alpaca_ppo_models_master,ppo_AMD_window2,True,True,False,False,False,,,,,,,,local deployment artifact inventory,missing=features|probability_config|model_info
AMD,models/alpaca_ppo_models_master,ppo_AMD_window3,True,True,False,False,False,,,,,,,,local deployment artifact inventory,missing=features|probability_config|model_info
AMD,models/alpaca_ppo_models_master,ppo_AMD_window4,True,True,False,False,False,,,,,,,,local deployment artifact inventory,missing=features|probability_config|model_info
